date,transported_people
01.01.2020,33763
02.01.2020,33999
03.01.2020,76199
04.01.2020,64480
05.01.2020,44614
06.01.2020,96285
07.01.2020,90886
08.01.2020,88883
09.01.2020,92275
10.01.2020,100223
11.01.2020,71259
12.01.2020,36917
13.01.2020,94512
14.01.2020,110648
15.01.2020,96281
16.01.2020,92398
17.01.2020,91605
18.01.2020,50514
19.01.2020,45220
20.01.2020,92502
21.01.2020,93000
22.01.2020,77922
23.01.2020,90518
24.01.2020,95402
25.01.2020,66573
26.01.2020,50822
27.01.2020,81253
28.01.2020,97133
29.01.2020,103545
30.01.2020,95107
31.01.2020,92649
