date,transported_people
01.01.2020,1131224
16.01.2020,1316163
01.02.2020,1087680
14.02.2020,1107112
01.03.2020,1049511
16.03.2020,337920
01.04.2020,266099
16.04.2020,363715
01.05.2020,499853
16.05.2020,598986
01.06.2020,718820
16.06.2020,824478
01.07.2020,738563
16.07.2020,681905
01.08.2020,698765
16.08.2020,839608
01.09.2020,877935
16.09.2020,746215
01.10.2020,819059
16.10.2020,893317
01.11.2020,738613
16.11.2020,786540
01.12.2020,825886
16.12.2020,702166
