date,transported_people
01.03.2019,108710
02.03.2019,61476
03.03.2019,44600
04.03.2019,91628
05.03.2019,101650
06.03.2019,83840
07.03.2019,66472
08.03.2019,101118
09.03.2019,41714
10.03.2019,39285
11.03.2019,102158
12.03.2019,95693
13.03.2019,93779
14.03.2019,93585
15.03.2019,91599
16.03.2019,58404
17.03.2019,37887
18.03.2019,96881
19.03.2019,95485
20.03.2019,101472
21.03.2019,95971
22.03.2019,105447
23.03.2019,65388
24.03.2019,46515
25.03.2019,90540
26.03.2019,95133
27.03.2019,82171
28.03.2019,100094
29.03.2019,84817
30.03.2019,64150
31.03.2019,32531
