date,transported_people
01.10.2020,55187
02.10.2020,64211
03.10.2020,38527
04.10.2020,17432
05.10.2020,57549
06.10.2020,59572
07.10.2020,59743
08.10.2020,60970
09.10.2020,56183
10.10.2020,50412
11.10.2020,33267
12.10.2020,60025
13.10.2020,65801
14.10.2020,69193
15.10.2020,70987
16.10.2020,78246
17.10.2020,47421
18.10.2020,26636
19.10.2020,59930
20.10.2020,62758
21.10.2020,61579
22.10.2020,72228
23.10.2020,72429
24.10.2020,40620
25.10.2020,24491
26.10.2020,66109
27.10.2020,59041
28.10.2020,57464
29.10.2020,60226
30.10.2020,64271
31.10.2020,39868
