date,transported_people
01.09.2020,66711
02.09.2020,70950
03.09.2020,67320
04.09.2020,72498
05.09.2020,48178
06.09.2020,30240
07.09.2020,55134
08.09.2020,64156
09.09.2020,56515
10.09.2020,65141
11.09.2020,62123
12.09.2020,51987
13.09.2020,29662
14.09.2020,69743
15.09.2020,67577
16.09.2020,64689
17.09.2020,63217
18.09.2020,67063
19.09.2020,48391
20.09.2020,30896
21.09.2020,44223
22.09.2020,31710
23.09.2020,42339
24.09.2020,60089
25.09.2020,49049
26.09.2020,42801
27.09.2020,25645
28.09.2020,53754
29.09.2020,60307
30.09.2020,62042
