date,transported_people
01.11.2020,27875
02.11.2020,58559
03.11.2020,62926
04.11.2020,60743
05.11.2020,47179
06.11.2020,58691
07.11.2020,42001
08.11.2020,20511
09.11.2020,56149
10.11.2020,62063
11.11.2020,58011
12.11.2020,55549
13.11.2020,60113
14.11.2020,41518
15.11.2020,26725
16.11.2020,55856
17.11.2020,57481
18.11.2020,58261
19.11.2020,56286
20.11.2020,64075
21.11.2020,42525
22.11.2020,23657
23.11.2020,55092
24.11.2020,58242
25.11.2020,63329
26.11.2020,64105
27.11.2020,64747
28.11.2020,44251
29.11.2020,18002
30.11.2020,60631
