date,transported_people
01.07.2019,81241
02.07.2019,85034
03.07.2019,99827
04.07.2019,90454
05.07.2019,86878
06.07.2019,56978
07.07.2019,39894
08.07.2019,73333
09.07.2019,78822
10.07.2019,68160
11.07.2019,79083
12.07.2019,64457
13.07.2019,48352
14.07.2019,27475
15.07.2019,68033
16.07.2019,61286
17.07.2019,73121
18.07.2019,65801
19.07.2019,78184
20.07.2019,57025
21.07.2019,36589
22.07.2019,69235
23.07.2019,68736
24.07.2019,65739
25.07.2019,64158
26.07.2019,69391
27.07.2019,57206
28.07.2019,40797
29.07.2019,63236
30.07.2019,77265
31.07.2019,73472
