date,transported_people
01.12.2020,54804
02.12.2020,55367
03.12.2020,66208
04.12.2020,58426
05.12.2020,43397
06.12.2020,26063
07.12.2020,55949
08.12.2020,64089
09.12.2020,65399
10.12.2020,65369
11.12.2020,74060
12.12.2020,40757
13.12.2020,22083
14.12.2020,62440
15.12.2020,71475
16.12.2020,61950
17.12.2020,61299
18.12.2020,62983
19.12.2020,50070
20.12.2020,22788
21.12.2020,63425
22.12.2020,55454
23.12.2020,54292
24.12.2020,38415
25.12.2020,18842
26.12.2020,22377
27.12.2020,17441
28.12.2020,43198
29.12.2020,47132
30.12.2020,42487
31.12.2020,40013
