date,transported_people
01.06.2020,22250
02.06.2020,43824
03.06.2020,50488
04.06.2020,54114
05.06.2020,52974
06.06.2020,49382
07.06.2020,21306
08.06.2020,51845
09.06.2020,58898
10.06.2020,61131
11.06.2020,59012
12.06.2020,67258
13.06.2020,45602
14.06.2020,28305
15.06.2020,52431
16.06.2020,59911
17.06.2020,60693
18.06.2020,61487
19.06.2020,68464
20.06.2020,48154
21.06.2020,30964
22.06.2020,53897
23.06.2020,56163
24.06.2020,62518
25.06.2020,65240
26.06.2020,61120
27.06.2020,49233
28.06.2020,29313
29.06.2020,55286
30.06.2020,62035
