date,transported_people
01.08.2019,45750
02.08.2019,61390
03.08.2019,58924
04.08.2019,45722
05.08.2019,72233
06.08.2019,79257
07.08.2019,86806
08.08.2019,84389
09.08.2019,98872
10.08.2019,60142
11.08.2019,40911
12.08.2019,79212
13.08.2019,90050
14.08.2019,90900
15.08.2019,86804
16.08.2019,87606
17.08.2019,77075
18.08.2019,31959
19.08.2019,91261
20.08.2019,98499
21.08.2019,101062
22.08.2019,89486
23.08.2019,94263
24.08.2019,63852
25.08.2019,35981
26.08.2019,74471
27.08.2019,76690
28.08.2019,86957
29.08.2019,85464
30.08.2019,81056
31.08.2019,62737
