date,transported_people
01.05.2020,35225
02.05.2020,29164
03.05.2020,17801
04.05.2020,33209
05.05.2020,35889
06.05.2020,31914
07.05.2020,32446
08.05.2020,34748
09.05.2020,22541
10.05.2020,18506
11.05.2020,37435
12.05.2020,40965
13.05.2020,41561
14.05.2020,43511
15.05.2020,44938
16.05.2020,29804
17.05.2020,19919
18.05.2020,36235
19.05.2020,42633
20.05.2020,49608
21.05.2020,26585
22.05.2020,42627
23.05.2020,33463
24.05.2020,22320
25.05.2020,41942
26.05.2020,46367
27.05.2020,43958
28.05.2020,49301
29.05.2020,51039
30.05.2020,39874
31.05.2020,23311
