date,transported_people
01.04.2019,88202
02.04.2019,87894
03.04.2019,98744
04.04.2019,105177
05.04.2019,91077
06.04.2019,54057
07.04.2019,34959
08.04.2019,82254
09.04.2019,83433
10.04.2019,75051
11.04.2019,86327
12.04.2019,81353
13.04.2019,64947
14.04.2019,53580
15.04.2019,65852
16.04.2019,75705
17.04.2019,83083
18.04.2019,85365
19.04.2019,51677
20.04.2019,58364
21.04.2019,35229
22.04.2019,36648
23.04.2019,82654
24.04.2019,88668
25.04.2019,100291
26.04.2019,108632
27.04.2019,72784
28.04.2019,55881
29.04.2019,90015
30.04.2019,105204
